Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
01.01.2022	Samstag	Neujahr	5. Mose 13,7.9	Wenn dich dein Bruder oder dein Sohn oder deine Tochter oder deine Frau in deinen Armen oder dein Freund, der dir so lieb ist wie dein Leben, heimlich überreden würde und sagen: Lass uns hingehen und andern Göttern dienen, so willige nicht ein.	Markus 3,35	/Jesus spricht:/ Wer Gottes Willen tut, der ist mein Bruder und meine Schwester und meine Mutter.
02.01.2022	Sonntag	1. Sonntag nach Weihnachten	5. Mose 32,39	Sehet, dass ich’s allein bin und ist kein Gott neben mir! Ich kann töten und lebendig machen, ich kann schlagen und kann heilen, und niemand kann aus meiner Hand reißen.	Römer 14,8	Leben wir, so leben wir dem Herrn; sterben wir, so sterben wir dem Herrn. Darum: wir leben oder sterben, so sind wir des Herrn.
03.01.2022	Montag		Jeremia 14,9	Du bist ja doch unter uns, HERR, und wir heißen nach deinem Namen; verlass uns nicht!	Epheser 1,18	Gott gebe euch erleuchtete Augen des Herzens, damit ihr erkennt, zu welcher Hoffnung ihr von ihm berufen seid.
04.01.2022	Dienstag		Psalm 57,2	Sei mir gnädig, Gott, sei mir gnädig! Denn auf dich traut meine Seele.	Johannes 1,16	Von seiner Fülle haben wir alle genommen Gnade um Gnade.
05.01.2022	Mittwoch		2. Mose 33,19	/Der HERR spricht:/ Wem ich gnädig bin, dem bin ich gnädig, und wessen ich mich erbarme, dessen erbarme ich mich.	2. Korinther 8,9	Ihr kennt die Gnade unseres Herrn Jesus Christus: Obwohl er reich ist, wurde er doch arm um euretwillen, auf dass ihr durch seine Armut reich würdet.
06.01.2022	Donnerstag	Epiphanias	Jeremia 33,8	Ich will sie reinigen von aller Missetat, womit sie wider mich gesündigt haben, und will ihnen vergeben.	1. Johannes 2,2	Jesus Christus ist die Versöhnung für unsre Sünden, nicht allein aber für die unseren, sondern auch für die der ganzen Welt.
07.01.2022	Freitag		5. Mose 4,39	Du sollst heute wissen und zu Herzen nehmen, dass der HERR Gott ist oben im Himmel und unten auf Erden und sonst keiner.	Kolosser 1,19-20	Es hat Gott gefallen, alle Fülle in ihm wohnen zu lassen und durch ihn alles zu versöhnen zu ihm hin, es sei auf Erden oder im Himmel.
08.01.2022	Samstag		Hiob 16,19	Siehe, auch jetzt noch ist mein Zeuge im Himmel, und mein Fürsprecher ist in der Höhe.	Hebräer 11,1	Es ist der Glaube eine feste Zuversicht dessen, was man hofft, und ein Nichtzweifeln an dem, was man nicht sieht.
09.01.2022	Sonntag	1. Sonntag nach Epiphanias	Jesaja 31,1	Weh denen, die sich verlassen auf Rosse und vertrauen auf Wagen, weil ihrer viele sind! Aber sie schauen nicht auf den Heiligen Israels, und den HERRN befragen sie nicht.	Hebräer 2,1	Darum sollen wir desto mehr achten auf das Wort, das wir hören, damit wir nicht am Ziel vorbeitreiben.
10.01.2022	Montag		Psalm 19,13	Wer kann merken, wie oft er fehlet? Verzeihe mir die verborgenen Sünden!	1. Korinther 4,5	Der Herr wird auch, was im Dunkeln verborgen ist, ans Licht bringen und wird Sinnen und Trachten der Herzen offenbar machen. Und dann wird einem jeden sein Lob zuteil werden von Gott.
11.01.2022	Dienstag		Prediger 5,6	Wo Träume sich mehren und Nichtigkeiten und viele Worte, da fürchte Gott!	Kolosser 2,18	Niemand soll euch das Heil absprechen, der sich in Demutsübungen und Engelverehrung gefällt und das mit irgendwelchen visionären Erlebnissen begründet. Solche Menschen blähen sich grundlos auf in ihrer rein irdischen Gesinnung, statt sich an Christus zu halten.
12.01.2022	Mittwoch		Jeremia 10,10	Der HERR ist der wahrhaftige Gott, der lebendige Gott, der ewige König.	Matthäus 11,25	Jesus sprach: Ich preise dich, Vater, Herr des Himmels und der Erde, dass du dies Weisen und Klugen verborgen hast und hast es Unmündigen offenbart.
13.01.2022	Donnerstag		Psalm 70,5	Die dein Heil lieben, lass allewege sagen: Hochgelobt sei Gott!	Römer 15,5-6	Der Gott der Geduld und des Trostes gebe euch, dass ihr einträchtig gesinnt seid untereinander, wie es Christus Jesus entspricht, damit ihr einmütig mit einem Munde Gott lobt.
14.01.2022	Freitag		Psalm 126,3	Der HERR hat Großes an uns getan; des sind wir fröhlich.	Epheser 1,3	Gelobt sei Gott, der Vater unseres Herrn Jesus Christus, der uns gesegnet hat mit allem geistlichen Segen im Himmel durch Christus.
15.01.2022	Samstag		Jesaja 53,5	Er ist um unsrer Missetat willen verwundet und um unsrer Sünde willen zerschlagen.	2. Korinther 5,21	Gott hat den, der von keiner Sünde wusste, für uns zur Sünde gemacht, auf dass wir in ihm die Gerechtigkeit würden, die vor Gott gilt.
16.01.2022	Sonntag	2. Sonntag nach Epiphanias	Psalm 105,4	Fraget nach dem HERRN und nach seiner Macht, suchet sein Antlitz allezeit!	Lukas 11,10	Wer bittet, empfängt; wer sucht, der findet; wer anklopft, dem wird aufgetan.
17.01.2022	Montag		Psalm 147,1	Lobet den HERRN! Denn unsern Gott loben, das ist ein köstlich Ding.	Epheser 5,19	Ermuntert einander mit Psalmen und Lobgesängen und geistlichen Liedern, singt und spielt dem Herrn in eurem Herzen.
18.01.2022	Dienstag		Micha 7,14	Weide dein Volk mit deinem Stabe.	Johannes 10,4	Die Schafe folgen dem Hirten nach; denn sie kennen seine Stimme.
19.01.2022	Mittwoch		Sprüche 17,5	Wer den Armen verspottet, verhöhnt dessen Schöpfer; und wer sich über eines andern Unglück freut, wird nicht ungestraft bleiben.	Matthäus 5,7	Selig sind die Barmherzigen; denn sie werden Barmherzigkeit erlangen.
20.01.2022	Donnerstag		Psalm 19,2	Die Himmel erzählen die Ehre Gottes.	Offenbarung 14,7	Betet an den, der gemacht hat Himmel und Erde und Meer und die Wasserquellen!
21.01.2022	Freitag		Jesaja 64,7	HERR, du bist doch unser Vater! Wir sind Ton, du bist unser Töpfer, und wir alle sind deiner Hände Werk.	Johannes 15,16	Nicht ihr habt mich erwählt, sondern ich habe euch erwählt und bestimmt, dass ihr hingeht und Frucht bringt und eure Frucht bleibt.
22.01.2022	Samstag		Jesaja 9,4	Jeder Stiefel, der mit Gedröhn dahergeht, und jeder Mantel, durch Blut geschleift, wird verbrannt und vom Feuer verzehrt.	Lukas 1,78-79	Durch die herzliche Barmherzigkeit unseres Gottes wird uns besuchen das aufgehende Licht aus der Höhe, auf dass es erscheine denen, die sitzen in Finsternis und Schatten des Todes, und richte unsere Füße auf den Weg des Friedens.
23.01.2022	Sonntag	3. Sonntag nach Epiphanias	Psalm 104,33	Ich will dem HERRN singen mein Leben lang und meinen Gott loben, solange ich bin.	Jakobus 5,13	Leidet jemand unter euch, der bete; ist jemand guten Mutes, der singe Psalmen.
24.01.2022	Montag		Psalm 139,11-12	Spräche ich: Finsternis möge mich decken und Nacht statt Licht um mich sein, so wäre auch Finsternis nicht finster bei dir, und die Nacht leuchtete wie der Tag.	Lukas 4,40	Als die Sonne untergegangen war, brachten alle ihre Kranken mit mancherlei Leiden zu Jesus. Und er legte einem jeden die Hände auf und machte sie gesund.
25.01.2022	Dienstag		Jeremia 10,24	Weise mich zurecht, HERR, aber im Gerichtsverfahren, nicht in deinem Zorn, damit du mich nicht auslöschst.	1. Thessalonicher 5,9	Gott hat uns nicht bestimmt zum Zorn, sondern dazu, die Seligkeit zu besitzen durch unsern Herrn Jesus Christus.
26.01.2022	Mittwoch		Psalm 90,16	Zeige deinen Knechten deine Werke und deine Herrlichkeit ihren Kindern.	Johannes 1,14	Das Wort ward Fleisch und wohnte unter uns, und wir sahen seine Herrlichkeit, eine Herrlichkeit als des eingeborenen Sohnes vom Vater, voller Gnade und Wahrheit.
27.01.2022	Donnerstag		Psalm 103,17-18	Die Gnade des HERRN währt von Ewigkeit zu Ewigkeit über denen, die ihn fürchten, und seine Gerechtigkeit auf Kindeskind bei denen, die seinen Bund halten.	Hebräer 13,8	Jesus Christus gestern und heute und derselbe auch in Ewigkeit.
28.01.2022	Freitag		Psalm 62,6	Sei nur stille zu Gott, meine Seele; denn er ist meine Hoffnung.	Matthäus 11,15	Wer Ohren hat, der höre!
29.01.2022	Samstag		Hesekiel 37,23	Ich will sie retten von allen ihren Abwegen, auf denen sie gesündigt haben, und will sie reinigen, und sie sollen mein Volk sein.	1. Korinther 3,16	Wisst ihr nicht, dass ihr Gottes Tempel seid und der Geist Gottes in euch wohnt?
30.01.2022	Sonntag	Letzter Sonntag nach Epiphanias	Hosea 14,4	Wir wollen nicht mehr sagen zu dem Werk unserer Hände: Du bist unser Gott.	Markus 8,36	Was hilft es dem Menschen, die ganze Welt zu gewinnen und Schaden zu nehmen an seiner Seele?
31.01.2022	Montag		Jeremia 3,22	Kehrt zurück, ihr abtrünnigen Kinder, so will ich euch heilen von eurem Ungehorsam. »Siehe, wir kommen zu dir; denn du bist der HERR, unser Gott.«	1. Petrus 2,25	Ihr wart wie irrende Schafe; aber ihr seid nun umgekehrt zu dem Hirten und Bischof eurer Seelen.
01.02.2022	Dienstag		2. Könige 19,30	Was vom Hause Juda errettet und übrig geblieben ist, wird von neuem nach unten Wurzeln schlagen und oben Frucht tragen.	Römer 11,16	Ist die Wurzel heilig, so sind auch die Zweige heilig.
02.02.2022	Mittwoch		Psalm 34,2	Ich will den HERRN loben allezeit; sein Lob soll immerdar in meinem Munde sein.	1. Thessalonicher 5,16-18	Seid allezeit fröhlich, betet ohne Unterlass, seid dankbar in allen Dingen.
03.02.2022	Donnerstag		1. Chronik 16,35	Hilf uns, Gott, unser Heiland, und sammle uns, dass wir deinen heiligen Namen preisen.	Johannes 17,11	/Jesus betet:/ Heiliger Vater, erhalte sie in deinem Namen, den du mir gegeben hast, dass sie eins seien wie wir.
04.02.2022	Freitag		3. Mose 19,32	Vor einem grauen Haupt sollst du aufstehen und die Alten ehren.	Römer 12,10	Einer komme dem andern mit Ehrerbietung zuvor.
05.02.2022	Samstag		Psalm 33,12	Wohl dem Volk, dessen Gott der HERR ist, dem Volk, das er zum Erbe erwählt hat!	Galater 4,6-7	Weil ihr nun Kinder seid, hat Gott den Geist seines Sohnes gesandt in unsre Herzen, der da ruft: Abba, lieber Vater! So bist du nun nicht mehr Knecht, sondern Kind; wenn aber Kind, dann auch Erbe durch Gott.
06.02.2022	Sonntag	4. Sonntag vor der Passionszeit	Micha 5,3	Er wird auftreten und sie weiden in der Kraft des HERRN.	Matthäus 9,36	Als Jesus das Volk sah, jammerte es ihn; denn sie waren geängstet und zerstreut wie die Schafe, die keinen Hirten haben.
07.02.2022	Montag		Psalm 91,4	Er wird dich mit seinen Fittichen decken, und Zuflucht wirst du haben unter seinen Flügeln.	Philipper 4,7	Der Friede Gottes, der höher ist als alle Vernunft, wird eure Herzen und Sinne bewahren in Christus Jesus.
08.02.2022	Dienstag		Jesaja 51,7	Fürchtet euch nicht, wenn euch die Leute schmähen, und entsetzt euch nicht, wenn sie euch verhöhnen!	1. Timotheus 6,12	Kämpfe den guten Kampf des Glaubens; ergreife das ewige Leben, wozu du berufen bist und bekannt hast das gute Bekenntnis vor vielen Zeugen.
09.02.2022	Mittwoch		Sacharja 9,10	Seine Herrschaft wird sein von einem Meer bis zum andern und bis an die Enden der Erde.	Philipper 2,9-10	Gott hat Jesus den Namen gegeben, der über alle Namen ist, dass in dem Namen Jesu sich beugen sollen aller derer Knie, die im Himmel und auf Erden und unter der Erde sind.
10.02.2022	Donnerstag		Psalm 115,16	Der Himmel ist der Himmel des HERRN; aber die Erde hat er den Menschenkindern gegeben.	Lukas 12,48	Wem viel gegeben ist, bei dem wird man viel suchen; und wem viel anvertraut ist, von dem wird man umso mehr fordern.
11.02.2022	Freitag		Josua 23,11	Achtet ernstlich darauf um eures Lebens willen, dass ihr den HERRN, euren Gott, lieb habt.	Johannes 14,23	/Jesus spricht:/ Wer mich liebt, der wird mein Wort halten; und mein Vater wird ihn lieben, und wir werden zu ihm kommen und Wohnung bei ihm nehmen.
12.02.2022	Samstag		Psalm 71,8	Lass meinen Mund deines Ruhmes und deines Preises voll sein täglich.	Matthäus 12,34	Wovon das Herz voll ist, davon redet der Mund.
13.02.2022	Sonntag	3. Sonntag vor der Passionszeit - Septuagesimae	Maleachi 3,2	Wer wird den Tag seines Kommens ertragen können, und wer wird bestehen, wenn er erscheint?	Offenbarung 3,20	Gebt acht, ich stehe vor der Tür und klopfe an! Wenn jemand meine Stimme hört und die Tür öffnet, werde ich bei ihm einkehren. Ich werde mit ihm das Mahl halten und er mit mir.
14.02.2022	Montag		Psalm 108,2	Gott, mein Herz ist bereit, ich will singen und spielen. Wach auf, meine Seele!	Kolosser 1,11-12	Mit Freuden sagt Dank dem Vater, der euch tüchtig gemacht hat zu dem Erbteil der Heiligen im Licht.
15.02.2022	Dienstag		Psalm 14,1	Die Toren sprechen in ihrem Herzen: »Es ist kein Gott.«	1. Johannes 5,20	Wir wissen aber, dass der Sohn Gottes gekommen ist und uns Einsicht gegeben hat, damit wir den Wahrhaftigen erkennen.
16.02.2022	Mittwoch		Psalm 84,6	Wohl den Menschen, die dich für ihre Stärke halten und von Herzen dir nachwandeln!	1. Korinther 16,13	Wachet, steht im Glauben, seid mutig und seid stark!
17.02.2022	Donnerstag		Psalm 25,5	Leite mich in deiner Wahrheit und lehre mich!	Johannes 8,31-32	Wenn ihr bleiben werdet an meinem Wort, so seid ihr wahrhaftig meine Jünger und werdet die Wahrheit erkennen, und die Wahrheit wird euch frei machen.
18.02.2022	Freitag		2. Mose 33,20	/Der Herr sprach zu Mose:/ Mein Angesicht kannst du nicht sehen; denn kein Mensch wird leben, der mich sieht.	1. Johannes 4,9	Darin ist erschienen die Liebe Gottes unter uns, dass Gott seinen eingebornen Sohn gesandt hat in die Welt, damit wir durch ihn leben sollen.
19.02.2022	Samstag		2. Chronik 30,8	Seid nicht halsstarrig, sondern gebt eure Hand dem HERRN und kommt zu seinem Heiligtum.	Lukas 14,15	Einer, der mit zu Tisch saß, sprach zu Jesus: Selig ist, der das Brot isst im Reich Gottes!
20.02.2022	Sonntag	2. Sonntag vor der Passionszeit - Sexagesimae	1. Mose 26,4	/Der Herr sprach zu Isaak:/ Durch deine Nachkommen sollen alle Völker auf Erden gesegnet werden.	Galater 4,28	Ihr aber, Brüder und Schwestern, seid wie Isaak Kinder der Verheißung.
21.02.2022	Montag		Jesaja 53,11	Weil seine Seele sich abgemüht hat, wird er das Licht schauen und die Fülle haben.	Kolosser 2,10	Ihr seid erfüllt durch Christus, der das Haupt aller Mächte und Gewalten ist.
22.02.2022	Dienstag		Richter 5,3	Hört zu, ihr Könige, merkt auf, ihr Fürsten! Ich will singen dem HERRN, ich will singen, will spielen dem HERRN, dem Gott Israels.	Philipper 4,5	Eure Güte lasst kund sein allen Menschen! Der Herr ist nahe!
23.02.2022	Mittwoch		Psalm 119,6	Wenn ich schaue allein auf deine Gebote, so werde ich nicht zuschanden.	Johannes 4,34	/Jesus spricht:/ Meine Speise ist die, dass ich tue den Willen dessen, der mich gesandt hat, und vollende sein Werk.
24.02.2022	Donnerstag		Jesaja 25,8	Der HERR wird aufheben die Schmach seines Volks in allen Landen.	Lukas 1,73-74	Schon unserem Ahnvater Abraham hat er mit einem Eid versprochen, uns aus der Macht der Feinde zu befreien, damit wir keine Furcht mehr haben müssen und unser Leben lang ihm dienen können.
25.02.2022	Freitag		Psalm 135,14	Der HERR schafft Recht seinem Volk und wird seinen Knechten gnädig sein.	Matthäus 5,6	Selig sind, die da hungert und dürstet nach der Gerechtigkeit; denn sie sollen satt werden.
26.02.2022	Samstag		Psalm 27,1	Der HERR ist mein Licht und mein Heil; vor wem sollte ich mich fürchten?	Johannes 8,12	/Jesus spricht:/ Wer mir nachfolgt, der wird nicht wandeln in der Finsternis, sondern wird das Licht des Lebens haben.
27.02.2022	Sonntag	Sonntag vor der Passionszeit - Estomihi (Sei mir ein starker Fels! Psalm 31,3)	Psalm 27,14	Harre des HERRN! Sei getrost und unverzagt und harre des HERRN!	2. Korinther 1,7	/Paulus schreibt:/ Unsre Hoffnung steht fest für euch, weil wir wissen: Wie ihr an den Leiden teilhabt, so habt ihr auch am Trost teil.
28.02.2022	Montag		2. Mose 15,11	HERR, wer ist dir gleich unter den Göttern? Wer ist dir gleich, der so herrlich und heilig ist, schrecklich, löblich und wundertätig?	1. Johannes 1,2	Wir haben gesehen und bezeugen und verkündigen euch das Leben, das ewig ist, das beim Vater war und uns erschienen ist.
01.03.2022	Dienstag		Psalm 40,17	Lass deiner sich freuen und fröhlich sein alle, die nach dir fragen.	Apostelgeschichte 2,46-47	Sie waren täglich einmütig beieinander im Tempel und brachen das Brot hier und dort in den Häusern, hielten die Mahlzeiten mit Freude und lauterem Herzen und lobten Gott und fanden Wohlwollen beim ganzen Volk.
02.03.2022	Mittwoch		5. Mose 28,2-3	Wenn du auf die Stimme des HERRN, deines Gottes, hörst: Gesegnet bist du in der Stadt, und gesegnet bist du auf dem Feld.	Lukas 11,28	Selig sind, die das Wort Gottes hören und bewahren.
03.03.2022	Donnerstag		Psalm 57,4	Gott sende seine Güte und Treue.	Apostelgeschichte 14,17	Gott hat sich selbst nicht unbezeugt gelassen, hat viel Gutes getan und euch vom Himmel Regen und fruchtbare Zeiten gegeben, hat euch ernährt und eure Herzen mit Freude erfüllt.
04.03.2022	Freitag		Psalm 141,8	Auf dich, HERR, sehen meine Augen; ich traue auf dich, gib mich nicht in den Tod dahin.	Johannes 14,19	/Jesus spricht:/ Ich lebe, und ihr sollt auch leben.
05.03.2022	Samstag		Psalm 65,9	Du machst fröhlich, was da lebet im Osten wie im Westen.	Lukas 8,1	Jesus zog von Stadt zu Stadt und von Dorf zu Dorf. Überall verkündete er die Gute Nachricht, dass Gott jetzt seine Herrschaft aufrichten und sein Werk vollenden werde.
06.03.2022	Sonntag	1. Sonntag der Passionszeit - Invokavit (Er ruft mich an, darum will ich ihn erhören. Psalm 91,15)	Habakuk 2,20	Der HERR ist in seinem heiligen Tempel. Es sei stille vor ihm alle Welt!	Matthäus 2,2	/Die Weisen sprachen:/ Wir sind gekommen, ihn anzubeten.
07.03.2022	Montag		Jesaja 40,10	Siehe, da ist Gott der HERR! Er kommt gewaltig, und sein Arm wird herrschen.	Lukas 21,28	Richtet euch auf und erhebt eure Häupter, denn eure Erlösung naht.
08.03.2022	Dienstag		1. Samuel 2,2	Es ist kein Fels, wie unser Gott ist.	1. Korinther 3,11	Einen andern Grund kann niemand legen außer dem, der gelegt ist, welcher ist Jesus Christus.
09.03.2022	Mittwoch		Sprüche 8,13	Den HERRN fürchten heißt das Böse hassen.	Epheser 2,10	Wir sind sein Werk, geschaffen in Christus Jesus zu guten Werken.
10.03.2022	Donnerstag		Jesaja 51,16	Ich habe mein Wort in deinen Mund gelegt und habe dich unter dem Schatten meiner Hände geborgen.	Offenbarung 3,8	Ich kenne deine Werke. Siehe, ich habe vor dir eine Tür aufgetan, die niemand zuschließen kann; denn du hast eine kleine Kraft und hast mein Wort bewahrt und hast meinen Namen nicht verleugnet.
11.03.2022	Freitag		Prediger 8,8	Der Mensch hat keine Macht über den Tag des Todes.	Matthäus 6,27	Wer von euch vermag durch Sorgen seiner Lebenszeit auch nur eine Elle hinzuzufügen?
12.03.2022	Samstag		Psalm 33,6	Der Himmel ist durch das Wort des HERRN gemacht und all sein Heer durch den Hauch seines Mundes.	Apostelgeschichte 17,25	Gott lässt sich nicht von Menschenhänden dienen, als ob er etwas nötig hätte; er ist es ja, der allen Leben und Atem und überhaupt alles gibt.
13.03.2022	Sonntag	2. Sonntag der Passionszeit - Reminiszere (Gedenke, HERR, an deine Barmherzigkeit! Psalm 25,6)	Psalm 33,16	Einem König hilft nicht seine große Macht; ein Held kann sich nicht retten durch seine große Kraft.	Markus 10,31	Viele Erste aber werden Letzte sein und Letzte Erste.
14.03.2022	Montag		Jesaja 55,12	Ihr sollt in Freuden ausziehen und im Frieden geleitet werden.	Johannes 10,3	Der gute Hirte ruft seine Schafe mit Namen und führt sie hinaus.
15.03.2022	Dienstag		2. Könige 20,5	So spricht der HERR: Ich habe dein Gebet gehört und deine Tränen gesehen. Siehe, ich will dich gesund machen.	Matthäus 7,7	Klopft an, so wird euch aufgetan.
16.03.2022	Mittwoch		1. Chronik 28,9	Diene Gott mit ganzem Herzen und mit williger Seele. Denn der HERR erforscht alle Herzen.	Hebräer 13,20.21	Der Gott des Friedens schaffe in uns, was ihm gefällt, durch Jesus Christus, welchem sei Ehre von Ewigkeit zu Ewigkeit!
17.03.2022	Donnerstag		5. Mose 8,2	Gedenke des ganzen Weges, den dich der HERR, dein Gott, geleitet hat diese vierzig Jahre in der Wüste, auf dass er dich demütigte und versuchte, damit kundwürde, was in deinem Herzen wäre.	Matthäus 11,29	/Jesus spricht:/ Nehmt auf euch mein Joch und lernt von mir; denn ich bin sanftmütig und von Herzen demütig; so werdet ihr Ruhe finden für eure Seelen.
18.03.2022	Freitag		Psalm 10,1	HERR, warum stehst du so ferne, verbirgst dich zur Zeit der Not?	Markus 4,38	Jesus war hinten im Boot und schlief auf einem Kissen. Und sie weckten ihn auf und sprachen zu ihm: Meister, fragst du nichts danach, dass wir umkommen?
19.03.2022	Samstag		Jona 2,7	Du hast mein Leben aus dem Verderben geführt, HERR, mein Gott!	2. Timotheus 2,19	Der feste Grund Gottes besteht und hat dieses Siegel: Der Herr kennt die Seinen.
20.03.2022	Sonntag	3. Sonntag der Passionszeit - Okuli (Meine Augen sehen stets auf den HERRN. Psalm 25,15)	Psalm 56,9	Sammle meine Tränen in deinen Krug; ohne Zweifel, du zählst sie.	Matthäus 5,4	Selig sind, die da Leid tragen; denn sie sollen getröstet werden.
21.03.2022	Montag		Psalm 143,8	Tu mir kund den Weg, den ich gehen soll; denn mich verlangt nach dir.	1. Timotheus 6,6-7	Es ist die Frömmigkeit eine Quelle großen Reichtums - wenn sie mit Genügsamkeit verbunden ist. Denn nichts haben wir in die Welt mitgebracht, so können wir auch nichts aus ihr mitnehmen.
22.03.2022	Dienstag		Psalm 118,24	Dies ist der Tag, den der HERR macht; lasst uns freuen und fröhlich an ihm sein.	Lukas 19,5-6	/Jesus sprach:/ Zachäus, steig eilend herunter; denn ich muss heute in deinem Haus einkehren. Und er stieg eilend herunter und nahm ihn auf mit Freuden.
23.03.2022	Mittwoch		2. Samuel 22,2	Der HERR ist mein Fels und meine Burg und mein Erretter.	Johannes 16,33	/Jesus spricht:/ In der Welt habt ihr Angst; aber seid getrost, ich habe die Welt überwunden.
24.03.2022	Donnerstag		Psalm 143,5	Ich gedenke an die früheren Zeiten; ich sinne nach über all deine Taten und spreche von den Werken deiner Hände.	Lukas 1,54-55	/Maria sprach:/ Er gedenkt der Barmherzigkeit und hilft seinem Diener Israel auf, wie er geredet hat zu unsern Vätern, Abraham und seinen Nachkommen in Ewigkeit.
25.03.2022	Freitag		Psalm 91,15	/Der HERR spricht:/ Er ruft mich an, darum will ich ihn erhören.	Römer 10,12	Es ist über alle derselbe Herr, reich für alle, die ihn anrufen.
26.03.2022	Samstag		1. Mose 24,7	Der HERR wird seinen Engel vor dir her senden.	Apostelgeschichte 12,8-9	Der Engel sagte zu Petrus: Gürte dich und binde deine Sandalen. Er tat es. Und er sagte zu ihm: Leg dir den Mantel um und folge mir! Und er ging hinaus und folgte ihm - er wusste jedoch nicht, dass es Wirklichkeit war, was durch den Engel geschah.
27.03.2022	Sonntag	4. Sonntag der Passionszeit - Lätare (Freuet euch mit Jerusalem! Jesaja 66,10)	Sprüche 14,31	Wer dem Geringen Gewalt tut, lästert dessen Schöpfer.	Matthäus 25,40	/Jesus spricht:/ Wahrlich, ich sage euch: Was ihr getan habt einem von diesen meinen geringsten Brüdern, das habt ihr mir getan.
28.03.2022	Montag		1. Könige 19,11-12	Vor dem HERRN her kam ein großer und gewaltiger Sturmwind, der Berge zerriss und Felsen zerbrach, in dem Sturmwind aber war der HERR nicht. Und nach dem Sturmwind kam ein Erdbeben, in dem Erdbeben aber war der HERR nicht. Und nach dem Erdbeben kam ein Feuer, in dem Feuer aber war der HERR nicht. Nach dem Feuer aber kam das Flüstern eines sanften Windhauchs.	Johannes 3,7-8	/Jesus spricht zu Nikodemus:/ Wundere dich nicht, dass ich dir gesagt habe: Ihr müsst von Neuem geboren werden. Der Wind bläst, wo er will, und du hörst sein Sausen wohl; aber du weißt nicht, woher er kommt und wohin er fährt.
29.03.2022	Dienstag		4. Mose 23,12	Muss ich nicht das halten und reden, was mir der HERR in den Mund gibt?	Apostelgeschichte 4,20	Wir können’s ja nicht lassen, von dem zu reden, was wir gesehen und gehört haben.
30.03.2022	Mittwoch		Nehemia 13,2	Unser Gott wandte den Fluch in einen Segen.	2. Korinther 5,19	Gott war in Christus und versöhnte die Welt mit ihm selber und rechnete ihnen ihre Sünden nicht zu und hat unter uns aufgerichtet das Wort von der Versöhnung.
31.03.2022	Donnerstag		Amos 4,11	Ihr wart wie ein Brandscheit, das aus dem Feuer gerissen wird; dennoch seid ihr nicht umgekehrt zu mir, spricht der HERR.	2. Timotheus 2,13	Sind wir untreu, so bleibt er treu; denn er kann sich selbst nicht verleugnen.
01.04.2022	Freitag		Psalm 51,17	Herr, tue meine Lippen auf, dass mein Mund deinen Ruhm verkündige.	1. Johannes 1,3	Was wir gesehen und gehört haben, das verkündigen wir euch.
02.04.2022	Samstag		2. Mose 13,18	Gott ließ das Volk einen Umweg machen, den Weg durch die Wüste zum Schilfmeer.	Römer 8,28	Wir wissen aber, dass denen, die Gott lieben, alle Dinge zum Besten dienen.
