Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
03.04.2022	Sonntag	5. Sonntag der Passionszeit - Judika (Schaffe mir Recht, Gott! Psalm 43,1)	1. Mose 21,17-18	Der Engel Gottes rief Hagar vom Himmel her und sprach zu ihr: Was ist dir, Hagar? Fürchte dich nicht; denn Gott hat gehört die Stimme des Knaben dort, wo er liegt. Steh auf, nimm den Knaben und führe ihn an deiner Hand; denn ich will ihn zum großen Volk machen.	Hebräer 12,12-13	Stärkt die müden Hände und die wankenden Knie und tut sichere Schritte mit euren Füßen.
04.04.2022	Montag		Psalm 23,2-3	Er weidet mich auf einer grünen Aue und führet mich zum frischen Wasser. Er erquicket meine Seele.	Johannes 10,27-28	/Jesus spricht:/ Meine Schafe hören meine Stimme, und ich kenne sie und sie folgen mir; und ich gebe ihnen das ewige Leben, und sie werden nimmermehr umkommen, und niemand wird sie aus meiner Hand reißen.
05.04.2022	Dienstag		Esra 3,11	Sie stimmten den Lobpreis an und dankten dem HERRN: Denn er ist gütig, und seine Barmherzigkeit währt ewiglich.	Markus 14,26	Als sie den Lobgesang gesungen hatten, gingen sie hinaus an den Ölberg.
06.04.2022	Mittwoch		Jesaja 40,13	Wer bestimmt den Geist des HERRN, und welcher Ratgeber unterweist ihn?	Römer 11,33	O welch eine Tiefe des Reichtums, beides, der Weisheit und der Erkenntnis Gottes! Wie unbegreiflich sind seine Gerichte und unerforschlich seine Wege!
07.04.2022	Donnerstag		1. Mose 49,25	Von Gott werde dir geholfen, und von dem Allmächtigen seist du gesegnet.	1. Johannes 3,19-20	Daran erkennen wir, dass wir aus der Wahrheit sind, und können vor ihm unser Herz überzeugen, dass, wenn uns unser Herz verdammt, Gott größer ist als unser Herz und erkennt alle Dinge.
08.04.2022	Freitag		2. Samuel 12,13	David sprach zu Nathan: Ich habe gesündigt gegen den HERRN. Nathan sprach: So hat auch der HERR deine Sünde weggenommen; du wirst nicht sterben.	Kolosser 2,13	Gott hat euch mit Christus lebendig gemacht, die ihr tot wart in den Sünden.
09.04.2022	Samstag		Psalm 97,1	Der HERR ist König; des freue sich das Erdreich und seien fröhlich die Inseln, so viel ihrer sind.	Römer 14,17	Das Reich Gottes ist nicht Essen und Trinken, sondern Gerechtigkeit und Friede und Freude im Heiligen Geist.
10.04.2022	Sonntag	6. Sonntag der Passionszeit - Palmsonntag	Jesaja 8,17	Ich will hoffen auf den HERRN, der sein Antlitz verborgen hat vor dem Hause Jakob.	Titus 2,13-14	Wir warten aber auf das, was unsere wunderbare Hoffnung ist: auf das Erscheinen der Herrlichkeit des großen Gottes und unseres Retters Jesus Christus, der sich selbst für uns hingegeben hat, um uns zu erlösen von aller Ungerechtigkeit.
11.04.2022	Montag		Psalm 31,25	Seid getrost und unverzagt alle, die ihr des HERRN harret!	Römer 5,2	Durch Jesus Christus haben wir den Zugang im Glauben zu dieser Gnade, in der wir stehen.
12.04.2022	Dienstag		Jesaja 48,20	Mit fröhlichem Schall verkündigt dies und lasst es hören, tragt’s hinaus bis an die Enden der Erde und sprecht: Der HERR hat seinen Knecht Jakob erlöst.	Kolosser 1,13	Er hat uns errettet aus der Macht der Finsternis und hat uns versetzt in das Reich seines geliebten Sohnes.
13.04.2022	Mittwoch		Micha 5,3	Er wird herrlich werden bis an die Enden der Erde.	Johannes 12,24	/Jesus spricht:/ Wenn das Weizenkorn nicht in die Erde fällt und stirbt, bleibt es allein; wenn es aber stirbt, bringt es viel Frucht.
14.04.2022	Donnerstag	Gründonnerstag	Jesaja 45,23-24	Mir sollen sich alle Knie beugen und alle Zungen schwören und sagen: Im HERRN habe ich Gerechtigkeit und Stärke.	Johannes 6,51	/Jesus spricht:/ Ich bin das lebendige Brot, das vom Himmel gekommen ist. Wer von diesem Brot isst, der wird leben in Ewigkeit.
15.04.2022	Freitag	Karfreitag	Psalm 119,36	HERR, neige mein Herz zu deinen Zeugnissen und nicht zur Habsucht.	Philipper 2,8	Jesus Christus erniedrigte sich und wurde gehorsam bis zum Tod, bis zum Tod am Kreuz.
16.04.2022	Samstag		Psalm 80,19	Lass uns leben, so wollen wir deinen Namen anrufen.	2. Timotheus 1,10	Christus Jesus hat dem Tode die Macht genommen und das Leben und ein unvergängliches Wesen ans Licht gebracht durch das Evangelium.
17.04.2022	Sonntag	Osterfest	1. Könige 2,1-2.3	Es kam die Zeit, da David sterben sollte, und er gebot Salomo, seinem Sohn: Ich gehe den Weg aller Welt. Du aber sei stark! Halte, was der HERR, dein Gott, zu halten geboten hat.	Johannes 20,21	/Der Auferstandene spricht:/ Friede sei mit euch! Wie mich der Vater gesandt hat, so sende ich euch.
18.04.2022	Montag	Ostermontag	1. Könige 8,29	Lass deine Augen offen stehen über diesem Hause Nacht und Tag, über der Stätte, von der du gesagt hast: Da soll mein Name sein.	Johannes 20,19	Am Abend dieses ersten Tages der Woche, da die Jünger versammelt und die Türen verschlossen waren, kam Jesus und trat mitten unter sie und spricht zu ihnen: Friede sei mit euch!
19.04.2022	Dienstag		Psalm 143,6	Ich breite meine Hände aus zu dir, meine Seele dürstet nach dir wie ein dürres Land.	Offenbarung 22,17	Wen dürstet, der komme; wer da will, der nehme das Wasser des Lebens umsonst.
20.04.2022	Mittwoch		Jeremia 31,10	Der Israel zerstreut hat, der wird’s auch wieder sammeln und wird es hüten wie ein Hirte seine Herde.	Johannes 17,20-21	/Jesus betet:/ Ich bitte aber nicht allein für sie, sondern auch für die, die durch ihr Wort an mich glauben werden, dass sie alle eins seien.
21.04.2022	Donnerstag		Amos 5,15	Hasst das Böse und liebt das Gute, richtet das Recht auf im Tor, vielleicht wird der HERR, der Gott Zebaoth, gnädig sein.	Epheser 5,8-9	Lebt als Kinder des Lichts. Das Licht bringt nichts als Güte, Gerechtigkeit und Wahrheit hervor.
22.04.2022	Freitag		1. Chronik 22,16	Mach dich auf und handle! Und der HERR möge mit dir sein.	Apostelgeschichte 4,33	Mit großer Kraft bezeugten die Apostel die Auferstehung des Herrn Jesus, und große Gnade war bei ihnen allen.
23.04.2022	Samstag		Jesaja 58,11	Du wirst sein wie ein bewässerter Garten und wie eine Wasserquelle, der es nie an Wasser fehlt.	Johannes 4,14	Wer von dem Wasser trinkt, das ich ihm gebe, den wird in Ewigkeit nicht dürsten, sondern das Wasser, das ich ihm geben werde, das wird in ihm eine Quelle des Wassers werden, das in das ewige Leben quillt.
24.04.2022	Sonntag	1. Sonntag nach Ostern - Quasimodogeniti (Wie die neugeborenen Kindlein. 1.Petrus 2,2)	Habakuk 3,18	Ich will mich freuen des HERRN und fröhlich sein in Gott, meinem Heil.	Lukas 10,20	Freut euch, dass eure Namen im Himmel geschrieben sind.
25.04.2022	Montag		1. Chronik 16,31	Es freue sich der Himmel, und die Erde sei fröhlich, und man sage unter den Völkern, dass der HERR regiert!	Matthäus 28,18-20	/Jesus spricht:/ Mir ist alle Macht gegeben im Himmel und auf Erden. Geht nun hin und macht alle Völker zu Jüngern: Tauft sie auf den Namen des Vaters und des Sohnes und des heiligen Geistes, und lehrt sie alles halten, was ich euch geboten habe.
26.04.2022	Dienstag		Psalm 89,49	Wo ist jemand, der da lebt und den Tod nicht sähe, der seine Seele errette aus des Todes Hand?	Römer 6,23	Der Sünde Sold ist der Tod; die Gabe Gottes aber ist das ewige Leben in Christus Jesus, unserm Herrn.
27.04.2022	Mittwoch		Josua 23,8	Haltet dem HERRN, eurem Gott, die Treue, so wie ihr es bisher getan habt.	2. Korinther 3,5	Nicht dass wir tüchtig sind von uns selber, uns etwas zuzurechnen als von uns selber; sondern dass wir tüchtig sind, ist von Gott.
28.04.2022	Donnerstag		Jesaja 2,4	Der HERR wird zurechtweisen viele Völker. Da werden sie ihre Schwerter zu Pflugscharen machen und ihre Spieße zu Sicheln.	Apostelgeschichte 10,36	Gott hat das Wort dem Volk Israel gesandt und Frieden verkündigt durch Jesus Christus, welcher ist Herr über alles.
29.04.2022	Freitag		Sacharja 8,17	Keiner ersinne Arges in seinem Herzen gegen seinen Nächsten, und liebt nicht falsche Eide; denn das alles hasse ich, spricht der HERR.	Epheser 4,32	Seid untereinander freundlich und herzlich und vergebt einer dem andern, wie auch Gott euch vergeben hat in Christus.
30.04.2022	Samstag		2. Mose 33,17	Der HERR sprach zu Mose: Du hast Gnade vor meinen Augen gefunden, und ich kenne dich mit Namen.	Johannes 10,14	/Jesus spricht:/ Ich bin der gute Hirte und kenne die Meinen und die Meinen kennen mich.
01.05.2022	Sonntag	2. Sonntag nach Ostern - Miserikordias Domini (Die Erde ist voll der Güte des HERRN. Psalm 33,5)	Jesaja 55,9	So viel der Himmel höher ist als die Erde, so sind auch meine Wege höher als eure Wege und meine Gedanken als eure Gedanken.	1. Korinther 13,9-10	Unser Wissen ist Stückwerk und unser prophetisches Reden ist Stückwerk. Wenn aber kommen wird das Vollkommene, so wird das Stückwerk aufhören.
02.05.2022	Montag		Jesaja 25,1	HERR, deine Ratschlüsse von alters her sind treu und wahrhaftig.	Epheser 1,4-5	Aus Liebe hat Gott uns dazu bestimmt, seine Söhne und Töchter zu werden – durch Jesus Christus.
03.05.2022	Dienstag		Jesaja 42,10	Singet dem HERRN ein neues Lied, seinen Ruhm an den Enden der Erde.	Kolosser 1,23	Lasst euch nicht abbringen von der Hoffnung des Evangeliums, das ihr gehört habt. Überall auf der Welt, so weit der Himmel reicht, ist es verkündigt worden.
04.05.2022	Mittwoch		Psalm 127,3	Siehe, Kinder sind eine Gabe des HERRN.	Markus 9,36-37	Jesus nahm ein Kind, stellte es mitten unter sie und herzte es und sprach zu ihnen: Wer ein solches Kind in meinem Namen aufnimmt, der nimmt mich auf; und wer mich aufnimmt, der nimmt nicht mich auf, sondern den, der mich gesandt hat.
05.05.2022	Donnerstag		Jesaja 42,6	Ich, der HERR, habe dich gerufen in Gerechtigkeit und halte dich bei der Hand.	Epheser 3,12	In Christus Jesus, unserem Herrn, haben wir Freiheit und Zugang zu Gott.
06.05.2022	Freitag		Prediger 12,14	Gott wird alle Werke vor Gericht bringen, alles, was verborgen ist, es sei gut oder böse.	Römer 14,12-13	Jeder von uns wird für sich selbst Gott Rechenschaft geben. Darum lasst uns nicht mehr einer den andern richten.
07.05.2022	Samstag		Psalm 118,25	O HERR, hilf! O HERR, lass wohlgelingen!	Hebräer 13,20.21	Der Gott des Friedens rüste euch aus mit allem Guten, dass ihr seinen Willen tut.
08.05.2022	Sonntag	3. Sonntag nach Ostern - Jubilate (Jauchzet Gott, alle Lande! Psalm 66,1)	Jesaja 42,16	Die Blinden will ich auf dem Wege leiten, den sie nicht wissen; ich will sie führen auf den Steigen, die sie nicht kennen.	1. Petrus 2,9	Gott hat euch berufen aus der Finsternis in sein wunderbares Licht.
09.05.2022	Montag		Psalm 11,7	Der HERR ist gerecht und hat Gerechtigkeit lieb.	Epheser 4,23-24	Erneuert euch aber in eurem Geist und Sinn und zieht den neuen Menschen an, der nach Gott geschaffen ist in wahrer Gerechtigkeit und Heiligkeit.
10.05.2022	Dienstag		Jeremia 31,34	Es wird keiner den andern noch ein Bruder den andern lehren und sagen: »Erkenne den HERRN«, denn sie sollen mich alle erkennen, beide, Klein und Groß, spricht der HERR.	Johannes 6,28-29	Da fragten sie ihn: Was sollen wir tun, dass wir Gottes Werke wirken? Jesus antwortete und sprach zu ihnen: Das ist Gottes Werk, dass ihr an den glaubt, den er gesandt hat.
11.05.2022	Mittwoch		1. Samuel 3,19	Der HERR war mit Samuel und ließ keines von allen seinen Worten zur Erde fallen.	Lukas 10,16	/Jesus spricht:/ Wer euch hört, der hört mich.
12.05.2022	Donnerstag		Hiob 10,12	Leben und Wohltat hast du an mir getan, und deine Obhut hat meinen Odem bewahrt.	Jakobus 5,11	Von der Geduld Hiobs habt ihr gehört und habt gesehen, zu welchem Ende es der Herr geführt hat; denn der Herr ist barmherzig und ein Erbarmer.
13.05.2022	Freitag		Psalm 30,3	HERR, mein Gott, da ich schrie zu dir, machtest du mich gesund.	Markus 5,19	/Jesus sprach zu dem Geheilten:/ Geh hin in dein Haus zu den Deinen und verkünde ihnen, welch große Dinge der Herr an dir getan und wie er sich deiner erbarmt hat.
14.05.2022	Samstag		Klagelieder 3,22-23	Die Barmherzigkeit des HERRN hat noch kein Ende, sondern sie ist alle Morgen neu, und deine Treue ist groß.	2. Korinther 4,16	Darum werden wir nicht müde; sondern wenn auch unser äußerer Mensch verfällt, so wird doch der innere von Tag zu Tag erneuert.
15.05.2022	Sonntag	4. Sonntag nach Ostern - Kantate (Singet dem HERRN ein neues Lied! Psalm 98,1)	Joel 3,5	Wer des HERRN Namen anrufen wird, der soll errettet werden.	Apostelgeschichte 4,12	/Petrus spricht von Jesus:/ In keinem andern ist das Heil, auch ist kein andrer Name unter dem Himmel den Menschen gegeben, durch den wir sollen selig werden.
16.05.2022	Montag		Hiob 2,11.13	Als die drei Freunde Hiobs all das Unglück hörten, das über ihn gekommen war, kamen sie und saßen mit ihm auf der Erde sieben Tage und sieben Nächte und redeten nichts mit ihm; denn sie sahen, dass der Schmerz sehr groß war.	Galater 6,2	Einer trage des andern Last, so werdet ihr das Gesetz Christi erfüllen.
17.05.2022	Dienstag		Jesaja 28,29	Des HERRN Rat ist wunderbar, und er führt es herrlich hinaus.	Epheser 2,17	Christus ist gekommen und hat im Evangelium Frieden verkündigt euch, die ihr fern wart, und Frieden denen, die nahe waren.
18.05.2022	Mittwoch		1. Samuel 2,8	Der Welt Grundfesten sind des HERRN, und er hat die Erde darauf gesetzt.	Johannes 1,1	Im Anfang war das Wort, und das Wort war bei Gott, und Gott war das Wort.
19.05.2022	Donnerstag		Psalm 77,10	Hat Gott vergessen, gnädig zu sein, hat er sein Erbarmen im Zorn verschlossen?	Römer 5,20	Wo die Sünde mächtig geworden ist, da ist die Gnade noch viel mächtiger geworden.
20.05.2022	Freitag		Psalm 38,5	Meine Schuld ist mir über den Kopf gewachsen; sie wiegt zu schwer, ich kann sie nicht mehr tragen.	Kolosser 2,14	Gott hat den Schuldbrief getilgt, der mit seinen Forderungen gegen uns war, und hat ihn aufgehoben und an das Kreuz geheftet.
21.05.2022	Samstag		Prediger 5,9	Wer Geld liebt, wird vom Geld niemals satt, und wer Reichtum liebt, wird keinen Nutzen davon haben.	1. Timotheus 6,8-9	Haben wir Nahrung und Kleidung, so soll uns das genügen. Die aber reich werden wollen, geraten in Versuchung und in die Schlingen vieler törichter und schädlicher Begierden.
22.05.2022	Sonntag	5. Sonntag nach Ostern - Rogate (Betet!)	Sacharja 13,9	Ich will sie durchs Feuer gehen lassen und läutern, wie man Silber läutert, und prüfen, wie man Gold prüft. Dann werden sie meinen Namen anrufen, und ich will sie erhören.	1. Petrus 1,6-7	Dann werdet ihr euch freuen, die ihr jetzt eine kleine Zeit, wenn es sein soll, traurig seid in mancherlei Anfechtungen, auf dass euer Glaube bewährt und viel kostbarer befunden werde als vergängliches Gold, das durchs Feuer geläutert wird.
23.05.2022	Montag		Psalm 81,2	Singet fröhlich Gott, der unsre Stärke ist!	2. Korinther 6,4.10	In allem erweisen wir uns als Diener Gottes: als die Traurigen, aber allezeit fröhlich; als die Armen, aber die doch viele reich machen; als die nichts haben und doch alles haben.
24.05.2022	Dienstag		Jesaja 64,8	HERR, zürne nicht so sehr und gedenke nicht ewig der Sünde! Sieh doch an, dass wir alle dein Volk sind!	1. Johannes 2,1	/Johannes schreibt:/ Meine Kinder, dies schreibe ich euch, damit ihr nicht sündigt. Und wenn jemand sündigt, so haben wir einen Fürsprecher bei dem Vater, Jesus Christus, der gerecht ist.
25.05.2022	Mittwoch		1. Chronik 29,11	Dein, HERR, ist die Größe und die Macht und die Herrlichkeit und der Ruhm und die Hoheit. Denn alles im Himmel und auf Erden ist dein.	1. Timotheus 2,5-6	Es ist #ein# Gott und #ein# Mittler zwischen Gott und den Menschen, nämlich der Mensch Christus Jesus, der sich selbst gegeben hat als Lösegeld für alle.
26.05.2022	Donnerstag	Christi Himmelfart	Psalm 92,14-15	Die gepflanzt sind im Hause des HERRN, werden in den Vorhöfen unsres Gottes grünen. Und wenn sie auch alt werden, werden sie dennoch blühen, fruchtbar und frisch sein.	Johannes 16,22	/Jesus spricht:/ Ich will euch wiedersehen, und euer Herz soll sich freuen, und eure Freude soll niemand von euch nehmen.
27.05.2022	Freitag		1. Samuel 17,37	Geh hin, der HERR sei mit dir!	1. Petrus 4,11	Wenn jemand dient, tue er’s aus der Kraft, die Gott gewährt.
28.05.2022	Samstag		Psalm 146,3	Verlasset euch nicht auf Fürsten; sie sind Menschen, die können ja nicht helfen.	Offenbarung 1,5	Jesus Christus ist der treue Zeuge, der Erstgeborene von den Toten und Fürst der Könige auf Erden!
29.05.2022	Sonntag	6. Sonntag nach Ostern - Exaudi (HERR, höre meine Stimme! Psalm 27,7)	1. Könige 8,27	/Salomo sprach:/ Siehe, der Himmel und aller Himmel Himmel können dich nicht fassen – wie sollte es dann dies Haus tun, das ich gebaut habe?	1. Johannes 4,12	Niemand hat Gott jemals gesehen. Wenn wir uns untereinander lieben, so bleibt Gott in uns, und seine Liebe ist in uns vollkommen.
30.05.2022	Montag		Psalm 40,18	Ich bin arm und elend; der HERR aber sorgt für mich.	Römer 5,5	Hoffnung lässt nicht zuschanden werden.
31.05.2022	Dienstag		Psalm 106,4	HERR, gedenke meiner nach der Gnade, die du deinem Volk verheißen hast; erweise an uns deine Hilfe.	Epheser 4,7	Jedem Einzelnen von uns ist die Gnade gegeben nach dem Maß, mit dem Christus zu geben pflegt.
01.06.2022	Mittwoch		Psalm 7,9	Der HERR wird richten die Völker.	2. Korinther 5,10	Wir alle müssen vor dem Richterstuhl Christi erscheinen, damit ein jeder empfange, was seinen Taten entspricht, die er zu Lebzeiten getan hat, seien sie gut oder böse.
02.06.2022	Donnerstag		Psalm 115,12	Der HERR denkt an uns und segnet uns.	1. Korinther 4,7	Was hast du, das du nicht empfangen hast?
03.06.2022	Freitag		Psalm 50,23	Wer Dank opfert, der preiset mich, und da ist der Weg, dass ich ihm zeige das Heil Gottes.	Kolosser 2,7	Seid verwurzelt und gegründet in Christus Jesus und fest im Glauben, wie ihr gelehrt worden seid, und voller Dankbarkeit.
04.06.2022	Samstag		2. Mose 13,21	Der HERR zog vor ihnen her, am Tage in einer Wolkensäule, um sie den rechten Weg zu führen, und bei Nacht in einer Feuersäule, um ihnen zu leuchten.	Römer 15,4	Was zuvor geschrieben ist, das ist uns zur Lehre geschrieben, damit wir durch Geduld und den Trost der Schrift Hoffnung haben.
05.06.2022	Sonntag	Pfingstfest	Psalm 73,26	Wenn mir gleich Leib und Seele verschmachtet, so bist du doch, Gott, allezeit meines Herzens Trost und mein Teil.	Römer 8,23-24	Wir selbst, die wir den Geist als Erstlingsgabe haben, seufzen in uns selbst und sehnen uns nach der Kindschaft, der Erlösung unseres Leibes. Denn wir sind gerettet auf Hoffnung hin.
06.06.2022	Montag	Pfingstmontag	1. Chronik 28,9	Der HERR erforscht alle Herzen und versteht alles Dichten und Trachten der Gedanken.	1. Johannes 4,13	Daran erkennen wir, dass wir in ihm bleiben und er in uns, dass er uns von seinem Geist gegeben hat.
07.06.2022	Dienstag		1. Samuel 12,20-21	Dient dem HERRN von ganzem Herzen. Und weicht nicht ab; folgt nicht denen, die nichts sind, die nichts nützen und nicht retten können, denn sie sind nichts!	Johannes 12,26	Wer mir dienen will, der folge mir nach; und wo ich bin, da soll mein Diener auch sein.
08.06.2022	Mittwoch		1. Samuel 2,7	Der HERR macht arm und macht reich; er erniedrigt und erhöht.	Jakobus 2,1	Haltet den Glauben an Jesus Christus, unsern Herrn der Herrlichkeit, frei von allem Ansehen der Person.
09.06.2022	Donnerstag		1. Mose 4,7	Ist’s nicht so: Wenn du fromm bist, so kannst du frei den Blick erheben. Bist du aber nicht fromm, so lauert die Sünde vor der Tür, und nach dir hat sie Verlangen; du aber herrsche über sie.	Galater 5,1	Zur Freiheit hat uns Christus befreit!
10.06.2022	Freitag		Sprüche 15,1	Eine linde Antwort stillt den Zorn; aber ein hartes Wort erregt Grimm.	Epheser 4,26-27	Lasst die Sonne nicht über eurem Zorn untergehen und gebt nicht Raum dem Teufel.
11.06.2022	Samstag		Jesaja 2,2.4	Zur letzten Zeit wird kein Volk wider das andere das Schwert erheben, und sie werden hinfort nicht mehr lernen, Krieg zu führen.	Lukas 3,14	Die Soldaten fragten Johannes und sprachen: Was sollen denn wir tun? Und er sprach zu ihnen: Tut niemandem Gewalt noch Unrecht und lasst euch genügen an eurem Sold!
12.06.2022	Sonntag	Trinitatis (Dreieinigkeit)	2. Mose 23,2	Du sollst der Menge nicht auf dem Weg zum Bösen folgen.	Epheser 4,15	Lasst uns aber wahrhaftig sein in der Liebe und wachsen in allen Stücken zu dem hin, der das Haupt ist, Christus.
13.06.2022	Montag		Psalm 65,6	Erhöre uns nach der wunderbaren Gerechtigkeit, Gott, unser Heil.	Johannes 14,14	/Jesus spricht:/ Was ihr mich bitten werdet in meinem Namen, das will ich tun.
14.06.2022	Dienstag		Psalm 127,1	Wenn der HERR nicht die Stadt behütet, so wacht der Wächter umsonst.	Philipper 1,6	Ich bin darin guter Zuversicht, dass der in euch angefangen hat das gute Werk, der wird’s auch vollenden bis an den Tag Christi Jesu.
15.06.2022	Mittwoch		Psalm 121,8	Der HERR behüte deinen Ausgang und Eingang von nun an bis in Ewigkeit!	2. Thessalonicher 3,3	Der Herr ist treu; der wird euch stärken und bewahren vor dem Bösen.
16.06.2022	Donnerstag		2. Mose 23,25	Dem HERRN, eurem Gott, sollt ihr dienen, so wird er dein Brot und dein Wasser segnen.	Matthäus 6,31.32	Darum sollt ihr nicht sorgen und sagen: Was werden wir essen? Was werden wir trinken? Womit werden wir uns kleiden? Denn euer himmlischer Vater weiß, dass ihr all dessen bedürft.
17.06.2022	Freitag		Psalm 104,1-2	HERR, mein Gott, du bist sehr groß; in Hoheit und Pracht bist du gekleidet. Licht ist dein Kleid, das du anhast.	1. Petrus 2,9	Ihr sollt die Wohltaten dessen verkündigen, der euch berufen hat aus der Finsternis in sein wunderbares Licht.
18.06.2022	Samstag		Psalm 107,9	Er sättigt die durstige Seele, und die Hungrigen füllt er mit Gutem.	Philipper 4,19	Mein Gott wird all eurem Mangel abhelfen nach seinem Reichtum in Herrlichkeit in Christus Jesus.
19.06.2022	Sonntag	1. Sonntag nach Trinitatis	Sprüche 11,24	Freigebige werden immer reicher, der Geizhals spart sich arm.	Apostelgeschichte 20,35	/Paulus sprach:/ Ich habe euch in allem gezeigt, dass man so arbeiten und sich der Schwachen annehmen muss im Gedenken an das Wort des Herrn Jesus, der selbst gesagt hat: Geben ist seliger als nehmen.
20.06.2022	Montag		2. Mose 20,3	Du sollst keine anderen Götter haben neben mir.	Johannes 6,68-69	/Simon Petrus sprach:/ Herr, wohin sollen wir gehen? Du hast Worte des ewigen Lebens; und wir haben geglaubt und erkannt: Du bist der Heilige Gottes.
21.06.2022	Dienstag		Psalm 8,3	Aus dem Munde der jungen Kinder und Säuglinge hast du eine Macht zugerichtet.	Matthäus 21,15-16	Als die Hohenpriester und Schriftgelehrten die Wunder sahen, die Jesus tat, und die Kinder, die im Tempel schrien und sagten: Hosianna dem Sohn Davids!, entrüsteten sie sich und sprachen zu ihm: Hörst du auch, was diese sagen?
22.06.2022	Mittwoch		Sprüche 7,2	Behalte meine Gebote, so wirst du leben, und hüte meine Weisung wie deinen Augapfel.	Jakobus 3,13	Wer ist weise und klug unter euch? Der zeige mit seinem guten Wandel seine Werke in Sanftmut und Weisheit.
23.06.2022	Donnerstag		Jeremia 31,7	Ruft laut, rühmt und sprecht: HERR, hilf deinem Volk!	Apostelgeschichte 4,29	Herr, gib deinen Knechten, mit allem Freimut zu reden dein Wort.
24.06.2022	Freitag	Johannistag	Psalm 19,8	Das Gesetz des HERRN ist vollkommen und erquickt die Seele.	Lukas 3,10-11	/Die Menge fragte Johannes:/ Was sollen wir nun tun? Er antwortete aber und sprach zu ihnen: Wer zwei Hemden hat, der gebe dem, der keines hat; und wer Speise hat, tue ebenso.
25.06.2022	Samstag		5. Mose 8,5	Du erkennst ja in deinem Herzen, dass der HERR, dein Gott, dich erzogen hat, wie ein Mann seinen Sohn erzieht.	Johannes 13,15	/Jesus spricht:/ Ein Beispiel habe ich euch gegeben, damit ihr tut, wie ich euch getan habe.
26.06.2022	Sonntag	2. Sonntag nach Trinitatis	Psalm 71,20	Gott, der du uns viel Angst und Not hast erfahren lassen, du wirst uns wieder beleben.	Johannes 14,27	Frieden lasse ich euch, meinen Frieden gebe ich euch. Nicht gebe ich euch, wie die Welt gibt. Euer Herz erschrecke nicht und fürchte sich nicht.
27.06.2022	Montag		Hesekiel 33,17	Dein Volk spricht: »Der HERR handelt nicht recht«, während doch sie nicht recht handeln.	Epheser 5,10	Prüft, was dem Herrn gefällt.
28.06.2022	Dienstag		Psalm 16,8	Der HERR steht mir zur Rechten, so wanke ich nicht.	Apostelgeschichte 26,22	/Paulus sagt:/ Gottes Hilfe habe ich erfahren bis zum heutigen Tag und stehe nun hier und bin sein Zeuge.
29.06.2022	Mittwoch		5. Mose 30,19	Ich habe euch Leben und Tod, Segen und Fluch vorgelegt, dass du das Leben erwählst.	Johannes 17,3	Das ist das ewige Leben, dass sie dich, der du allein wahrer Gott bist, und den du gesandt hast, Jesus Christus, erkennen.
30.06.2022	Donnerstag		2. Mose 15,2	Der HERR ist meine Stärke und mein Lobgesang und ist mein Heil.	Lukas 1,49	/Maria sprach:/ Er hat große Dinge an mir getan, der da mächtig ist und dessen Name heilig ist.
01.07.2022	Freitag		Psalm 6,5	Wende dich, HERR, und errette meine Seele, hilf mir um deiner Güte willen!	Matthäus 9,22	Jesus wandte sich um und sah die Frau und sprach: Sei getrost, meine Tochter, dein Glaube hat dir geholfen. Und die Frau wurde gesund zu derselben Stunde.
