Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
02.07.2022	Samstag		Psalm 139,9-10	Nähme ich Flügel der Morgenröte und bliebe am äußersten Meer, so würde auch dort deine Hand mich führen und deine Rechte mich halten.	Matthäus 28,20	/Jesus spricht:/ Siehe, ich bin bei euch alle Tage bis an der Welt Ende.
03.07.2022	Sonntag	3. Sonntag nach Trinitatis	Psalm 66,16	Kommt her, höret zu alle, die ihr Gott fürchtet; ich will erzählen, was er an mir getan hat.	Galater 2,20	/Paulus schreibt:/ Ich lebe im Glauben an den Sohn Gottes, der mich geliebt hat und sich selbst für mich dahingegeben.
04.07.2022	Montag		Jesaja 66,2	Meine Hand hat alles gemacht, was da ist, spricht der HERR. Ich sehe aber auf den Elenden und auf den, der zerbrochenen Geistes ist und der erzittert vor meinem Wort.	Johannes 17,17	/Jesus betet:/ Heilige sie in der Wahrheit; dein Wort ist die Wahrheit.
05.07.2022	Dienstag		1. Mose 15,6	Abram glaubte dem HERRN, und das rechnete er ihm zur Gerechtigkeit.	Galater 3,7	Die aus dem Glauben sind, das sind Abrahams Kinder.
06.07.2022	Mittwoch		Jesaja 60,19	Der HERR wird dein ewiges Licht und dein Gott wird dein Glanz sein.	1. Johannes 1,5	Das ist die Botschaft, die wir von ihm gehört haben und euch verkündigen: Gott ist Licht, und in ihm ist keine Finsternis.
07.07.2022	Donnerstag		1. Chronik 29,12	In deiner Hand, HERR, steht es, jedermann groß und stark zu machen.	Markus 10,16	Jesus herzte die Kinder und legte die Hände auf sie und segnete sie.
08.07.2022	Freitag		Jeremia 21,14	Ich will euch heimsuchen, spricht der HERR, nach der Frucht eures Tuns.	Galater 6,9	Lasst uns Gutes tun und nicht müde werden; denn zu seiner Zeit werden wir auch ernten, wenn wir nicht nachlassen.
09.07.2022	Samstag		Jesaja 48,21	Sie litten keinen Durst, als der HERR sie leitete in der Wüste. Er ließ ihnen Wasser aus dem Felsen fließen.	Johannes 7,37	/Jesus spricht:/ Wen da dürstet, der komme zu mir und trinke!
10.07.2022	Sonntag	4. Sonntag nach Trinitatis	Jeremia 18,6	Siehe, wie der Ton in des Töpfers Hand, so seid auch ihr in meiner Hand.	Philipper 2,13	Gott ist’s, der in euch wirkt beides, das Wollen und das Vollbringen, nach seinem Wohlgefallen.
11.07.2022	Montag		Jeremia 16,19	HERR, du bist meine Stärke und Kraft und meine Zuflucht in der Not!	2. Korinther 4,8	Wir sind von allen Seiten bedrängt, aber wir ängstigen uns nicht. Uns ist bange, aber wir verzagen nicht.
12.07.2022	Dienstag		Habakuk 3,19	Der HERR ist meine Kraft.	1. Timotheus 4,10	Dafür arbeiten und kämpfen wir, weil wir unsre Hoffnung auf den lebendigen Gott gesetzt haben.
13.07.2022	Mittwoch		Jesaja 66,19	Ich will einige von ihnen, die errettet sind, zu den Völkern senden, wo man nichts von mir gehört hat; und sie sollen meine Herrlichkeit unter den Völkern verkündigen.	Markus 16,15	Gehet hin in alle Welt und predigt das Evangelium aller Kreatur.
14.07.2022	Donnerstag		Psalm 145,9	Der HERR ist allen gütig und erbarmt sich aller seiner Werke.	Matthäus 5,45	Er lässt seine Sonne aufgehen über Böse und Gute und lässt regnen über Gerechte und Ungerechte.
15.07.2022	Freitag		Psalm 85,10.11	Gottes Hilfe ist nahe denen, die ihn fürchten, dass Güte und Treue einander begegnen, Gerechtigkeit und Friede sich küssen.	Römer 5,1	Da wir nun gerecht geworden sind durch den Glauben, haben wir Frieden mit Gott durch unsern Herrn Jesus Christus.
16.07.2022	Samstag		Psalm 138,7	HERR, wenn ich mitten in der Angst wandle, so erquickst du mich.	2. Korinther 6,4	In allem erweisen wir uns als Diener Gottes: in großer Geduld, in Bedrängnissen, in Nöten, in Ängsten.
17.07.2022	Sonntag	5. Sonntag nach Trinitatis	Psalm 141,3	HERR, behüte meinen Mund und bewahre meine Lippen!	Epheser 4,29	Kein hässliches Wort komme über eure Lippen, sondern wenn ein Wort, dann ein gutes, das der Erbauung dient, wo es nottut, und denen, die es hören, Freude bereitet.
18.07.2022	Montag		Jeremia 8,21.22	/Jeremia sprach:/ Mich jammert von Herzen, dass die Tochter meines Volks so zerschlagen ist. Ist denn keine Salbe in Gilead oder ist kein Arzt da?	Lukas 10,8-9	/Jesus spricht zu den Jüngern:/ Wenn ihr in eine Stadt kommt und sie euch aufnehmen, dann esst, was euch vorgesetzt wird, und heilt die Kranken, die dort sind, und sagt ihnen: Das Reich Gottes ist nahe zu euch gekommen.
19.07.2022	Dienstag		Psalm 34,8	Der Engel des HERRN lagert sich um die her, die ihn fürchten, und hilft ihnen heraus.	Apostelgeschichte 12,7	Der Engel des Herrn kam herein und Licht leuchtete auf in dem Raum; und er stieß Petrus in die Seite und weckte ihn und sprach: Steh schnell auf! Und die Ketten fielen ihm von seinen Händen.
20.07.2022	Mittwoch		Psalm 119,114	Du bist mein Schutz und mein Schild; ich hoffe auf dein Wort.	Matthäus 8,8	Der Hauptmann sprach: Herr, ich bin nicht wert, dass du unter mein Dach gehst, sondern sprich nur ein Wort, so wird mein Knecht gesund.
21.07.2022	Donnerstag		Hesekiel 16,61.63	Du wirst an deine Wege denken und dich schämen, wenn ich dir alles vergeben werde, was du getan hast, spricht Gott der HERR.	2. Korinther 7,10	Die Traurigkeit nach Gottes Willen wirkt zur Seligkeit eine Umkehr, die niemanden reut.
22.07.2022	Freitag		1. Könige 8,56	Gelobet sei der HERR, der seinem Volk Israel Ruhe gegeben hat, wie er es zugesagt hat.	Hebräer 4,9	Es ist noch eine Ruhe vorhanden für das Volk Gottes.
23.07.2022	Samstag		Josua 1,9	Lass dir nicht grauen und entsetze dich nicht; denn der HERR, dein Gott, ist mit dir in allem, was du tun wirst.	2. Korinther 12,10	Darum bin ich guten Mutes in Schwachheit, in Misshandlungen, in Nöten, in Verfolgungen und Ängsten um Christi willen; denn wenn ich schwach bin, so bin ich stark.
24.07.2022	Sonntag	6. Sonntag nach Trinitatis	Psalm 46,5-6	Dennoch soll die Stadt Gottes fein lustig bleiben mit ihren Brünnlein, da die heiligen Wohnungen des Höchsten sind. Gott ist bei ihr drinnen, darum wird sie fest bleiben.	Offenbarung 21,3	Siehe, die Wohnung Gottes bei den Menschen! Er wird bei ihnen wohnen, und sie werden seine Völker sein, und Gott selbst wird mit ihnen sein, ihr Gott.
25.07.2022	Montag		1. Samuel 30,6	David wusste sich stark durch den HERRN, seinen Gott.	Lukas 17,5	Die Apostel sprachen zu dem Herrn: Stärke uns den Glauben!
26.07.2022	Dienstag		Jesaja 12,4	Machet kund unter den Völkern sein Tun, verkündiget, wie sein Name so hoch ist!	Offenbarung 14,6-7	/Johannes schreibt:/ Ich sah einen Engel fliegen mitten durch den Himmel, der hatte ein ewiges Evangelium zu verkündigen denen, die auf Erden wohnen, allen Nationen und Stämmen und Sprachen und Völkern. Und er sprach mit großer Stimme: Fürchtet Gott und gebt ihm die Ehre.
27.07.2022	Mittwoch		Psalm 136,3.4	Danket dem Herrn aller Herren, der allein große Wunder tut, denn seine Güte währet ewiglich.	Lukas 17,15-16	Einer unter den Aussätzigen, als er sah, dass er gesund geworden war, kehrte er um und pries Gott mit lauter Stimme und fiel nieder auf sein Angesicht zu Jesu Füßen und dankte ihm.
28.07.2022	Donnerstag		Jona 2,9	Die sich halten an das Nichtige, verlassen ihre Gnade.	1. Johannes 2,17	Die Welt vergeht, mit ihrem Begehren; wer aber den Willen Gottes tut, der bleibt in Ewigkeit.
29.07.2022	Freitag		Sprüche 4,18	Der Gerechten Pfad glänzt wie das Licht am Morgen, das immer heller leuchtet bis zum vollen Tag.	1. Johannes 3,2	Meine Lieben, wir sind schon Gottes Kinder; es ist aber noch nicht offenbar geworden, was wir sein werden. Wir wissen: Wenn es offenbar wird, werden wir ihm gleich sein; denn wir werden ihn sehen, wie er ist.
30.07.2022	Samstag		Josua 24,24	Wir wollen dem HERRN, unserm Gott, dienen und seiner Stimme gehorchen.	Johannes 18,37	/Jesus sprach zu Pilatus:/ Ich bin dazu geboren und in die Welt gekommen, dass ich die Wahrheit bezeuge. Wer aus der Wahrheit ist, der hört meine Stimme.
31.07.2022	Sonntag	7. Sonntag nach Trinitatis	Psalm 22,12	Sei nicht ferne von mir, denn Angst ist nahe; denn es ist hier kein Helfer.	1. Korinther 10,13	Gott ist treu, der euch nicht versuchen lässt über eure Kraft.
01.08.2022	Montag		Jesaja 57,19	Friede, Friede denen in der Ferne und denen in der Nähe, spricht der HERR; ich will sie heilen.	Römer 15,33	Der Gott des Friedens sei mit euch allen!
02.08.2022	Dienstag		Maleachi 2,10	Haben wir nicht alle #einen# Vater? Hat uns nicht #ein# Gott geschaffen? Warum verachten wir denn einer den andern?	Philipper 2,3	In Demut achte einer den andern höher als sich selbst.
03.08.2022	Mittwoch		Jesaja 60,1	Mache dich auf, werde licht; denn dein Licht kommt, und die Herrlichkeit des HERRN geht auf über dir!	1. Thessalonicher 5,5	Ihr alle seid Kinder des Lichtes und Kinder des Tages.
04.08.2022	Donnerstag		2. Könige 19,14	Als Hiskia den Brief gelesen hatte, ging er hinauf zum Hause des HERRN und breitete ihn aus vor dem HERRN.	Philipper 4,6	Sorgt euch um nichts, sondern in allen Dingen lasst eure Bitten in Gebet und Flehen mit Danksagung vor Gott kundwerden!
05.08.2022	Freitag		Psalm 18,30	Mit meinem Gott kann ich über Mauern springen.	2. Timotheus 1,7	Gott hat uns nicht gegeben den Geist der Furcht, sondern der Kraft und der Liebe und der Besonnenheit.
06.08.2022	Samstag		5. Mose 4,9	Hüte dich nur und bewahre deine Seele gut, dass du nicht vergisst, was deine Augen gesehen haben.	Offenbarung 3,3	Denk daran, wie du die Botschaft empfangen und gehört hast, bewahre sie und kehre um!
07.08.2022	Sonntag	8. Sonntag nach Trinitatis	Daniel 10,19	Fürchte dich nicht, du von Gott Geliebter! Friede sei mit dir! Sei getrost, sei getrost!	Johannes 16,20	Eure Trauer wird sich in Freude verwandeln.
08.08.2022	Montag		Jesaja 9,5	Er heißt Wunder-Rat, Gott-Held, Ewig-Vater, Friede-Fürst.	1. Johannes 4,16	Wir haben erkannt und geglaubt die Liebe, die Gott zu uns hat: Gott ist Liebe; und wer in der Liebe bleibt, der bleibt in Gott und Gott in ihm.
09.08.2022	Dienstag		Psalm 119,63	Ich halte mich zu allen, die dich fürchten und deine Befehle halten.	Apostelgeschichte 8,30-31	/Philippus fragte den Kämmerer:/ Verstehst du auch, was du liest? Er aber sprach: Wie kann ich, wenn mich nicht jemand anleitet? Und er bat Philippus, aufzusteigen und sich zu ihm zu setzen.
10.08.2022	Mittwoch		Jesaja 43,2	Wenn du durch Wasser gehst, will ich bei dir sein, und wenn du durch Ströme gehst, sollen sie dich nicht ersäufen. Wenn du ins Feuer gehst, wirst du nicht brennen, und die Flamme wird dich nicht versengen.	Matthäus 8,26	Was seid ihr so furchtsam, ihr Kleingläubigen!
11.08.2022	Donnerstag		Psalm 31,24	Liebet den HERRN, alle seine Heiligen!	1. Korinther 13,13	Nun aber bleiben Glaube, Hoffnung, Liebe, diese drei; aber die Liebe ist die größte unter ihnen.
12.08.2022	Freitag		Psalm 146,7	Der HERR schafft Recht den Unterdrückten, den Hungrigen gibt er Brot.	Markus 8,6	Jesus nahm die sieben Brote, dankte, brach sie und gab sie seinen Jüngern, dass sie sie austeilten, und sie teilten sie unter das Volk aus.
13.08.2022	Samstag		Jesaja 50,6	/Der Knecht Gottes sprach:/ Ich bot meinen Rücken dar denen, die mich schlugen, und meine Wangen denen, die mich rauften. Mein Angesicht verbarg ich nicht vor Schmach und Speichel.	Johannes 1,29	Siehe, das ist Gottes Lamm, das der Welt Sünde trägt!
14.08.2022	Sonntag	9. Sonntag nach Trinitatis	Psalm 113,5-7	Wer ist dem HERRN gleich, unserem Gott, der hoch droben thront, der tief hinunterschaut auf Himmel und Erde! Der aus dem Staub den Geringen aufrichtet.	Philipper 2,6-7	Jesus Christus, der in göttlicher Gestalt war, hielt es nicht für einen Raub, Gott gleich zu sein, sondern entäußerte sich selbst und nahm Knechtsgestalt an, ward den Menschen gleich.
15.08.2022	Montag		Psalm 118,15.16	Man singt mit Freuden vom Sieg in den Hütten der Gerechten: Die Rechte des HERRN ist erhöht; die Rechte des HERRN behält den Sieg!	Lukas 1,46-47	Meine Seele erhebt den Herrn, und mein Geist freuet sich Gottes, meines Heilandes.
16.08.2022	Dienstag		Psalm 78,4	Wir verkündigen dem kommenden Geschlecht den Ruhm des HERRN und seine Macht und seine Wunder, die er getan hat.	Matthäus 5,15	Man zündet auch nicht ein Licht an und setzt es unter einen Scheffel, sondern auf einen Leuchter; so leuchtet es allen, die im Hause sind.
17.08.2022	Mittwoch		1. Samuel 12,24	Fürchtet den HERRN und dient ihm treu von ganzem Herzen; denn seht doch, wie große Dinge er an euch getan hat.	Römer 12,11	Seid nicht träge in dem, was ihr tun sollt. Seid brennend im Geist. Dient dem Herrn.
18.08.2022	Donnerstag		Psalm 37,28	Der HERR hat das Recht lieb.	Lukas 20,25	So gebt dem Kaiser, was des Kaisers ist, und Gott, was Gottes ist!
19.08.2022	Freitag		Psalm 63,9	Meine Seele hängt an dir; deine rechte Hand hält mich.	2. Timotheus 1,12	/Paulus schreibt:/ Ich weiß, an wen ich glaube, und bin gewiss, dass er bewahren kann, was mir anvertraut ist.
20.08.2022	Samstag		Hosea 14,6	/Gott spricht:/ Ich will für Israel wie der Tau sein, dass es blüht wie eine Lilie.	Johannes 15,5	Ich bin der Weinstock, ihr seid die Reben. Wer in mir bleibt und ich in ihm, der bringt viel Frucht; denn ohne mich könnt ihr nichts tun.
21.08.2022	Sonntag	10. Sonntag nach Trinitatis (Israelsonntag)	1. Mose 24,56	Haltet mich nicht auf, denn der HERR hat Gnade zu meiner Reise gegeben.	Apostelgeschichte 8,36	Und als sie auf der Straße dahinfuhren, kamen sie an ein Wasser. Da sprach der Kämmerer: Siehe, da ist Wasser; was hindert’s, dass ich mich taufen lasse?
22.08.2022	Montag		Jeremia 14,22	Bist du es nicht, HERR, unser Gott, auf den wir hoffen?	Hebräer 4,16	Lasst uns freimütig hinzutreten zu dem Thron der Gnade, auf dass wir Barmherzigkeit empfangen und Gnade finden und so Hilfe erfahren zur rechten Zeit.
23.08.2022	Dienstag		2. Mose 20,2	Ich bin der HERR, dein Gott, der ich dich aus Ägyptenland, aus der Knechtschaft, geführt habe.	2. Korinther 3,17	Wo der Geist des Herrn ist, da ist Freiheit.
24.08.2022	Mittwoch		Psalm 119,45	Ich wandle in weitem Raum; denn ich suche deine Befehle.	Römer 8,37	Wir überwinden weit durch den, der uns geliebt hat.
25.08.2022	Donnerstag		Psalm 55,17	Ich will zu Gott rufen, und der HERR wird mir helfen.	2. Korinther 1,10-11	Auf ihn hoffen wir, er werde uns auch hinfort erretten. Dazu helft auch ihr durch eure Fürbitte für uns.
26.08.2022	Freitag		Psalm 96,2	Singet dem HERRN und lobet seinen Namen, verkündet von Tag zu Tag sein Heil!	Kolosser 3,16	Lehrt und ermahnt einander in aller Weisheit; mit Psalmen, Lobgesängen und geistlichen Liedern singt Gott dankbar in euren Herzen.
27.08.2022	Samstag		Psalm 40,12	Du, HERR, wollest deine Barmherzigkeit nicht von mir wenden; lass deine Güte und Treue allewege mich behüten.	1. Thessalonicher 5,24	Treu ist er, der euch ruft; er wird’s auch tun.
28.08.2022	Sonntag	11. Sonntag nach Trinitatis	Psalm 96,3	Tut kund seine Herrlichkeit unter den Nationen, unter allen Völkern seine Wunder.	Kolosser 4,3	/Paulus schreibt:/ Betet für uns, auf dass Gott uns eine Tür für das Wort auftue.
29.08.2022	Montag		Psalm 74,22	Mach dich auf, Gott, und führe deine Sache.	Epheser 1,9-10	Gott hat uns wissen lassen das Geheimnis seines Willens nach seinem Ratschluss, den er zuvor in Christus gefasst hatte, um die Fülle der Zeiten heraufzuführen, auf dass alles zusammengefasst würde in Christus, was im Himmel und auf Erden ist, durch ihn.
30.08.2022	Dienstag		2. Mose 14,21	Als Mose seine Hand über das Meer reckte, ließ es der HERR zurückweichen durch einen starken Ostwind.	Hebräer 11,29	Durch den Glauben gingen sie durchs Rote Meer wie über trockenes Land.
31.08.2022	Mittwoch		Psalm 130,7	Israel hoffe auf den HERRN! Denn bei dem HERRN ist die Gnade und viel Erlösung bei ihm.	2. Korinther 9,8	Gott kann machen, dass alle Gnade unter euch reichlich sei, damit ihr in allen Dingen allezeit volle Genüge habt und noch reich seid zu jedem guten Werk.
01.09.2022	Donnerstag		Klagelieder 3,57	Du nahtest dich zu mir, als ich dich anrief, und sprachst: Fürchte dich nicht!	Johannes 16,24	Bittet, so werdet ihr empfangen, auf dass eure Freude vollkommen sei.
02.09.2022	Freitag		Psalm 67,8	Es segne uns Gott, und alle Welt fürchte ihn!	Offenbarung 4,11	Herr, unser Gott, du bist würdig, zu nehmen Preis und Ehre und Kraft; denn du hast alle Dinge geschaffen, und durch deinen Willen waren sie und wurden sie geschaffen.
03.09.2022	Samstag		5. Mose 29,28	Was verborgen ist, ist des HERRN, unseres Gottes; was aber offenbart ist, das gilt uns und unsern Kindern ewiglich.	Johannes 17,26	/Jesus betet:/ Ich habe ihnen deinen Namen kundgetan und werde ihn kundtun, damit die Liebe, mit der du mich liebst, in ihnen sei und ich in ihnen.
04.09.2022	Sonntag	12. Sonntag nach Trinitatis	Psalm 22,20	Du, HERR, sei nicht ferne; meine Stärke, eile, mir zu helfen!	1. Johannes 5,15	Wir wissen, dass er uns hört.
05.09.2022	Montag		Jesaja 49,15	Bringt eine Mutter es fertig, ihren Säugling zu vergessen? Hat sie nicht Mitleid mit dem Kind, das sie in ihrem Leib getragen hat? Und selbst wenn sie es vergessen könnte, ich vergesse euch nicht!	Hebräer 13,6	So können wir getrost sagen: Der Herr ist mein Helfer, ich werde mich nicht fürchten.
06.09.2022	Dienstag		Daniel 9,9	Bei dir, Herr, unser Gott, ist Barmherzigkeit und Vergebung.	Lukas 15,1	Alle Zöllner und Sünder suchten Jesu Nähe, um ihm zuzuhören.
07.09.2022	Mittwoch		Psalm 84,2	Wie lieblich sind deine Wohnungen, HERR Zebaoth!	Matthäus 18,20	Wo zwei oder drei versammelt sind in meinem Namen, da bin ich mitten unter ihnen.
08.09.2022	Donnerstag		Maleachi 3,1	Siehe, ich will meinen Engel senden, der vor mir her den Weg bereiten soll.	Markus 1,12-13	Und alsbald trieb ihn der Geist in die Wüste; und er war in der Wüste vierzig Tage und wurde versucht von dem Satan und war bei den Tieren, und die Engel dienten ihm.
09.09.2022	Freitag		Jeremia 17,14	Heile du mich, HERR, so werde ich heil; hilf du mir, so ist mir geholfen.	Markus 2,17	Nicht die Starken bedürfen des Arztes, sondern die Kranken. Ich bin nicht gekommen, Gerechte zu rufen, sondern Sünder.
10.09.2022	Samstag		Daniel 6,11	Daniel hatte an seinem Obergemach offene Fenster nach Jerusalem, und er fiel dreimal am Tag auf seine Knie, betete, lobte und dankte seinem Gott.	Römer 12,12	Seid fröhlich in Hoffnung, geduldig in Trübsal, beharrlich im Gebet.
11.09.2022	Sonntag	13. Sonntag nach Trinitatis	1. Samuel 24,20	/Saul sprach zu David:/ Wo ist jemand, der seinen Feind findet und lässt ihn im Guten seinen Weg gehen? Der HERR vergelte dir Gutes für das, was du heute an mir getan hast!	Römer 12,17	Vergeltet niemandem Böses mit Bösem. Seid auf Gutes bedacht gegenüber jedermann.
12.09.2022	Montag		Psalm 78,3-4	Was wir gehört haben und wissen und unsre Väter uns erzählt haben, das wollen wir nicht verschweigen ihren Kindern.	Matthäus 10,8	Umsonst habt ihr’s empfangen, umsonst gebt es auch.
13.09.2022	Dienstag		Psalm 118,14	Der HERR ist meine Macht und mein Psalm und ist mein Heil.	Römer 15,13	Der Gott der Hoffnung erfülle euch mit aller Freude und Frieden im Glauben, dass ihr immer reicher werdet an Hoffnung durch die Kraft des Heiligen Geistes.
14.09.2022	Mittwoch		Psalm 81,8	/Gott spricht:/ Als du mich in der Not anriefst, half ich dir heraus.	2. Timotheus 4,17	/Paulus schreibt:/ Der Herr aber stand mir bei und stärkte mich.
15.09.2022	Donnerstag		Sprüche 12,18	Wer unvorsichtig herausfährt mit Worten, sticht wie ein Schwert; aber die Zunge der Weisen bringt Heilung.	Römer 14,19	Lasst uns dem nachstreben, was zum Frieden dient und zur Erbauung untereinander.
16.09.2022	Freitag		Jesaja 32,18	Mein Volk wird in friedlichen Auen wohnen, in sicheren Wohnungen.	Epheser 2,19-20	So seid ihr nun nicht mehr Gäste und Fremdlinge, sondern Mitbürger der Heiligen und Gottes Hausgenossen, erbaut auf den Grund der Apostel und Propheten, da Jesus Christus der Eckstein ist.
17.09.2022	Samstag		Psalm 89,15	Gerechtigkeit und Recht sind deines Thrones Stütze, Gnade und Treue treten vor dein Angesicht.	Kolosser 3,12	So zieht nun an als die Auserwählten Gottes, als die Heiligen und Geliebten, herzliches Erbarmen, Freundlichkeit, Demut, Sanftmut, Geduld.
18.09.2022	Sonntag	14. Sonntag nach Trinitatis	4. Mose 9,18	Nach dem Wort des HERRN brachen die Israeliten auf, und nach seinem Wort lagerten sie sich.	Kolosser 3,17	Alles, was ihr tut mit Worten oder mit Werken, das tut alles im Namen des Herrn Jesus und dankt Gott, dem Vater, durch ihn.
19.09.2022	Montag		Psalm 103,6	Der HERR schafft Gerechtigkeit und Recht allen, die Unrecht leiden.	Johannes 12,46	Ich bin als Licht in die Welt gekommen, auf dass, wer an mich glaubt, nicht in der Finsternis bleibe.
20.09.2022	Dienstag		Jesaja 42,1	Ich habe meinen Geist auf meinen Diener gelegt, das Recht trägt er hinaus zu den Nationen.	Markus 10,42-43	Ihr wisst, die als Herrscher gelten, halten ihre Völker nieder, und ihre Mächtigen tun ihnen Gewalt an. Aber so ist es unter euch nicht; sondern wer groß sein will unter euch, der soll euer Diener sein.
21.09.2022	Mittwoch		Jesaja 12,5	Lobsinget dem HERRN, denn er hat sich herrlich bewiesen. Solches sei kund in allen Landen!	Apostelgeschichte 14,27	Als Paulus und Barnabas in Antiochia angekommen waren und die Gemeinde versammelt hatten, berichteten sie, was Gott alles durch sie getan und dass er allen Völkern die Tür zum Glauben aufgetan habe.
22.09.2022	Donnerstag		Psalm 89,9	HERR, wer ist wie du? Mächtig bist du, HERR, und deine Treue ist um dich her.	Epheser 1,17	Der Gott unseres Herrn Jesus Christus, der Vater der Herrlichkeit, gebe euch den Geist der Weisheit und der Offenbarung, ihn zu erkennen.
23.09.2022	Freitag		1. Samuel 12,22	Es hat dem HERRN gefallen, euch zu seinem Volk zu machen.	Epheser 2,8	Aus Gnade seid ihr gerettet durch Glauben, und das nicht aus euch: Gottes Gabe ist es.
24.09.2022	Samstag		Zefanja 1,12	Ich will heimsuchen die Leute, die träge auf ihren Hefen liegen und sprechen in ihrem Herzen: Der HERR wird weder Gutes noch Böses tun.	Offenbarung 3,17-18	Du sprichst: Ich bin reich und habe mehr als genug und brauche nichts!, und weißt nicht, dass du elend und jämmerlich bist, arm, blind und bloß. Ich rate dir, dass du Gold von mir kaufst, das im Feuer geläutert ist, damit du reich werdest, und weiße Kleider, damit du sie anziehst und die Schande deiner Blöße nicht offenbar werde, und Augensalbe, deine Augen zu salben, damit du sehen mögest.
25.09.2022	Sonntag	15. Sonntag nach Trinitatis	Psalm 121,3	Der HERR wird deinen Fuß nicht gleiten lassen, und der dich behütet, schläft nicht.	1. Korinther 1,7-8	Unser Herr Jesus Christus wird euch fest machen bis ans Ende.
26.09.2022	Montag		Jeremia 31,18	Bekehre du mich, so will ich mich bekehren; denn du, HERR, bist mein Gott!	Johannes 20,27	/Jesus spricht zu Thomas:/ Reiche deinen Finger her und sieh meine Hände, und reiche deine Hand her und lege sie in meine Seite, und sei nicht ungläubig, sondern gläubig!
27.09.2022	Dienstag		Daniel 11,32	Die vom Volk, die ihren Gott kennen, werden stark sein und danach handeln.	Hebräer 11,24	Durch den Glauben wollte Mose, als er groß geworden war, nicht mehr Sohn der Tochter Pharaos heißen.
28.09.2022	Mittwoch		Jesaja 52,9	Der HERR hat sein Volk getröstet und Jerusalem erlöst.	1. Johannes 2,8	Die Finsternis vergeht und das wahre Licht scheint schon.
29.09.2022	Donnerstag	Michaelistag	Josua 5,14	Josua fiel auf sein Angesicht zur Erde nieder, betete an und sprach: Was sagt mein Herr seinem Knecht?	Lukas 22,41-43	Jesus kniete nieder, betete und sprach: Vater, willst du, so nimm diesen Kelch von mir; doch nicht mein, sondern dein Wille geschehe! Es erschien ihm aber ein Engel vom Himmel und stärkte ihn.
30.09.2022	Freitag		Psalm 90,4	Tausend Jahre sind vor dir wie der Tag, der gestern vergangen ist, und wie eine Nachtwache.	Lukas 1,50	Seine Barmherzigkeit währet für und für bei denen, die ihn fürchten.
01.10.2022	Samstag		Jesaja 53,5	Die Strafe liegt auf ihm, auf dass wir Frieden hätten.	1. Petrus 2,24	Christus hat unsre Sünden selbst hinaufgetragen an seinem Leibe auf das Holz, damit wir, den Sünden abgestorben, der Gerechtigkeit leben.
02.10.2022	Sonntag	Erntedankfest	Habakuk 2,6	Weh dem, der sein Gut mehrt mit fremdem Gut – wie lange wird’s währen?	Lukas 12,15	Seht zu und hütet euch vor aller Habgier; denn niemand lebt davon, dass er viele Güter hat.
03.10.2022	Montag		Jesaja 45,9	Weh dem, der mit seinem Schöpfer hadert, eine Scherbe unter irdenen Scherben! Spricht denn der Ton zu seinem Töpfer: »Was machst du?«	Matthäus 6,9-10	Unser Vater im Himmel! Dein Name werde geheiligt. Dein Reich komme. Dein Wille geschehe wie im Himmel so auf Erden.
04.10.2022	Dienstag		5. Mose 10,18-19	Der HERR schafft Recht den Waisen und Witwen und hat Fremdlinge lieb, dass er ihnen Speise und Kleider gibt. Darum sollt ihr auch die Fremdlinge lieben.	Matthäus 25,35	Ich bin ein Fremder gewesen und ihr habt mich aufgenommen.
